OBJECTID,FREQUENCY,NEIGHNAME,BASE_ZONE,GENERAL_ZONING,ACRES,geom
2027,15,WINDSOR PARK,GO,Vertical Mixed Use,17.03356026,
181,36,BLUFF SPRINGS,P,Public,1012.495629,
206,26,BOULDIN CREEK,LR,Mixed Use,3.186885301,
1428,6,RMMA,GO,Office,0.58735285,
1900,559,WEST CONGRESS,SF-3,Single Family,104.0440545,
1359,951,PECAN SPRINGS-SPRINGDALE,SF-2,Single Family,200.0387711,
1453,16,ROGERS HILL,GR,Commercial,59.07075896,
169,5,BLUFF SPRINGS,DR,"Agriculture, Development Reserve",921.5855425,
1922,39,WEST OAK HILL,MF-2,Multi-Family,79.57199866,
1704,273,ST. EDWARDS,SF-2,Single Family,44.85836749,
1069,49,MLK,GR,Mixed Use,18.64732249,
382,48,CRESTVIEW,CS,Commercial,19.44087535,
1337,99,PARKER LANE,MF-3,Multi-Family,39.94462552,
1446,4,ROBINSON RANCH,RR,"Rural, Lake Austin Residence",2.541494694,
122,18,BARTON CREEK MALL AREA,P,Public,458.1320085,
1572,248,SOUTH BRODIE,SF-2,Single Family,1107.963689,
418,41,DAWSON,CS,Commercial,3.66921149,
1949,23,WEST UNIVERSITY,LR,Commercial,2.654640358,
1410,28,RIVERSIDE,GR,Commercial,17.36086851,
364,40,CORONADO HILLS,GR,Commercial,20.43240517,
1862,13,WALNUT CREEK--PIONEER HILL,SF-6,Single Family,180.4485849,
393,17,CRESTVIEW,LO,Office,5.987206378,
1183,558,NORTH LAMAR,SF-2,Single Family,106.8695927,
426,14,DAWSON,LI,Industrial,2.751413375,
839,529,HERITAGE HILLS,SF-3,Single Family,154.4117087,
1093,80,MLK-183,LI,Industrial,507.3319608,
2043,58,WINDSOR PARK,P,Public,87.63980482,
1148,404,NORTH AUSTIN CIVIC ASSOCIATION,PUD,Planned Unit Development,48.03616956,
1051,14,MCNEIL,MF-2,Multi-Family,215.4598661,
691,1919,GARRISON PARK,SF-3,Single Family,428.3397425,
273,1,BULL CREEK,SF-1,Single Family,0.000848745,
1353,8,PECAN SPRINGS-SPRINGDALE,LI,Industrial,11.61824399,
1362,40,PECAN SPRINGS-SPRINGDALE,SF-6,Single Family,73.07303891,
183,29,BLUFF SPRINGS,RR,"Rural, Lake Austin Residence",153.9492134,
719,857,GEORGIAN ACRES,SF-3,Single Family,220.4734299,
1070,40,MLK,GR,Vertical Mixed Use,20.9400428,
380,7,CORONADO HILLS,UNZ,Unzoned,57.75237373,
1373,6,PLEASANT VALLEY,MI,Industrial,92.47202991,
1772,16,TRIANGLE STATE,UNZ,Unzoned,204.828023,
1033,40,MCKINNEY,P,Public,125.4975455,
1682,1,SPICEWOOD,UNZ,Unzoned,0.001210842,
1229,25,NORTH SHOAL CREEK,SF-3,Single Family,69.69250212,
2044,8,WINDSOR PARK,PUD,Planned Unit Development,0.068516086,
573,6,EAST CONGRESS,SF-6,Single Family,2.710270451,
1655,54,SOUTHEAST,CS,Mixed Use,81.51028773,
182,35,BLUFF SPRINGS,PUD,Planned Unit Development,2853.627294,
1871,36,WEST AUSTIN NEIGHBORHOOD GROUP,LA,"Rural, Lake Austin Residence",87.77933607,
598,327,EAST OAK HILL,RR,"Rural, Lake Austin Residence",419.0009913,
1625,31,SOUTH RIVER CITY,CS,Commercial,6.919963475,
1194,4,NORTH LOOP,GR,Mixed Use,0.250373684,
1099,113,MLK-183,P,Public,177.2886405,
735,6,GOVALLE,LR,Commercial,0.404530687,
1030,24,MCKINNEY,LR,Commercial,11.03636032,
441,1,DECKER LAKE,CS,Commercial,26.19713359,
200,1,BOULDIN CREEK,L,Vertical Mixed Use,0.001422205,
1451,8,ROGERS HILL,DR,"Agriculture, Development Reserve",357.0523612,
2046,195,WINDSOR PARK,SF-2,Single Family,42.36992481,
1872,20,WEST AUSTIN NEIGHBORHOOD GROUP,LO,Office,6.347515988,
463,14,DEL VALLE,LI,Industrial,998.7329752,
190,21,BOULDIN CREEK,CS,Commercial,5.458249409,
356,38,CIRCLE C SOUTH,RR,"Rural, Lake Austin Residence",925.6169502,
1929,629,WEST OAK HILL,RR,"Rural, Lake Austin Residence",742.3304225,
388,76,CRESTVIEW,GR,Commercial,28.53166639,
302,1778,CENTRAL EAST AUSTIN,SF-3,Single Family,202.6448016,
213,74,BOULDIN CREEK,P,Public,93.24708874,
443,1,DECKER LAKE,DR,"Agriculture, Development Reserve",4.36494E-05,
1356,73,PECAN SPRINGS-SPRINGDALE,MF-3,Multi-Family,45.8177451,
1482,14,ROSEDALE,LR,Commercial,7.776310418,
1058,21,MCNEIL,SF-1,Single Family,162.7694308,
779,1,GRACY WOODS,Unclassified,Unclassified,1.179953312,
1565,9,SOUTH BRODIE,LO,Office,14.9092142,
1444,1,ROBINSON RANCH,MF-4,Multi-Family,30.71753895,
57,132,ALLANDALE,SF-2,Single Family,795.7959748,
431,31,DAWSON,MF-2,Multi-Family,7.066751398,
1447,3,ROBINSON RANCH,SF-2,Single Family,0.001361447,
1554,102,SLAUGHTER CREEK,SF-2,Single Family,369.5318404,
75,20,ANDERSON MILL,P,Public,264.6743497,
928,1,JESTER,LO,Mixed Use,7.413773759,
1529,2,SAMSUNG--PIONEER CROSSING,SF-6,Single Family,16.49047504,
1216,6,NORTH SHOAL CREEK,CS-1,Commercial,0.591029293,
1713,10,ST. JOHN,GR,Mixed Use,5.090531297,
829,12,HERITAGE HILLS,GR,Mixed Use,5.635289282,
1681,5,SPICEWOOD,SF-6,Single Family,10.99699848,
448,6,DECKER LAKE,P,Public,2471.848204,
411,37,DAVENPORT LAKE AUSTIN,RR,"Rural, Lake Austin Residence",567.285824,
285,73,CENTRAL EAST AUSTIN,GO,Office,5.506995688,
72,3,ANDERSON MILL,MF-2,Multi-Family,70.59948883,
2047,3277,WINDSOR PARK,SF-3,Single Family,664.4985744,
1557,6,SLAUGHTER CREEK,SF-6,Single Family,64.63968565,
1256,18,NORTHWEST HILLS,LO,Office,49.65448239,
1065,99,MLK,CS,Mixed Use,47.37905328,
544,194,EAST CESAR CHAVEZ,CS,Mixed Use,27.10173633,
1290,2,OLD WEST AUSTIN,LR,Commercial,1.190253721,
1195,17,NORTH LOOP,GR,Vertical Mixed Use,1.197105818,
649,1,GALINDO,CS,Mixed Use,8.023683845,
642,153,FRANKLIN PARK,PUD,Planned Unit Development,14.95599222,
733,19,GOVALLE,LO,Mixed Use,3.817530118,
1514,6,ROSEWOOD,SF-6,Single Family,0.77706398,
1743,46,TECH RIDGE,CS,Commercial,329.8461948,
237,30,BRENTWOOD,NO,Mixed Use,1.628738116,
1696,15,ST. EDWARDS,LO,Office,4.077102809,
1135,3,NORTH AUSTIN CIVIC ASSOCIATION,CS,Mixed Use,0.616441479,
807,2,HARRIS BRANCH,CS,Commercial,4.812200864,
1636,4,SOUTH RIVER CITY,LI,Industrial,5.243617303,
1212,8,NORTH LOOP,UNZ,Unzoned,0.499946179,
1371,77,PLEASANT VALLEY,MF-2,Multi-Family,106.4855816,
618,19,FOUR POINTS,PUD,Planned Unit Development,321.7571235,
899,16,HOLLY,TOD,TOD/Corridor/Specific Regulating District,8.028751106,
1367,2,PLEASANT VALLEY,GR,Commercial,0.060645355,
1074,39,MLK,MF-2,Multi-Family,15.63439708,
723,119,GOVALLE,CS,Mixed Use,63.85825208,
1717,13,ST. JOHN,LR,Mixed Use,4.544952766,
1073,15,MLK,LR,Mixed Use,2.996547846,
1209,5,NORTH LOOP,SF-4A,Single Family,0.719479242,
1210,14,NORTH LOOP,SF-5,Single Family,0.946449573,
903,4,HYDE PARK,GO,Office,2.79626077,
121,1,BARTON CREEK MALL AREA,NO,Office,0.021104325,
952,20,JOHNSTON TERRACE,P,Public,135.1039482,
595,141,EAST OAK HILL,P,Public,1008.510606,
1571,51,SOUTH BRODIE,SF-1,Single Family,92.25732195,
1078,6,MLK,PUD,Planned Unit Development,2.309380569,
1103,46,MLK-183,SF-4A,Single Family,10.86158829,
197,50,BOULDIN CREEK,GR,Mixed Use,12.03902395,
521,77,DOWNTOWN,CS,Commercial,55.52494019,
58,37,ALLANDALE,SF-3,Single Family,23.18011046,
1415,56,RIVERSIDE,MF-2,Multi-Family,19.85008724,
1954,491,WEST UNIVERSITY,MF-4,Multi-Family,109.3102998,
790,22,HANCOCK,GR,Vertical Mixed Use,4.541533711,
1342,161,PARKER LANE,SF-2,Single Family,79.81505039,
192,249,BOULDIN CREEK,CS,Vertical Mixed Use,39.66910238,
1748,46,TECH RIDGE,GR,Commercial,274.4965107,
198,29,BOULDIN CREEK,GR,Vertical Mixed Use,3.521791216,
1408,216,RIVERSIDE,ERC,TOD/Corridor/Specific Regulating District,221.2073556,
1676,5,SPICEWOOD,P,Public,79.76816317,
1466,45,ROGERS HILL,SF-3,Single Family,614.9104966,
444,2,DECKER LAKE,GR,Commercial,11.12331528,
1819,42,UT,MF-4,Multi-Family,63.23216353,
1881,3341,WEST AUSTIN NEIGHBORHOOD GROUP,SF-3,Single Family,1121.48469,
1924,175,WEST OAK HILL,MH,Mobile Home,100.8657838,
539,47,DOWNTOWN,P,Public,101.3790885,
954,388,JOHNSTON TERRACE,SF-3,Single Family,149.4665135,
1793,182,UPPER BOGGY CREEK,CS,Vertical Mixed Use,40.81760002,
730,29,GOVALLE,GR,Commercial,4.692043924,
2070,1292,WINDSOR ROAD,SF-3,Single Family,278.3709858,
1821,3,UT,P,Public,4.254343803,
1901,4,WEST CONGRESS,SF-4A,Single Family,0.76743081,
582,244,EAST OAK HILL,GR,Commercial,365.544542,
1122,59,MONTOPOLIS,MF-2,Multi-Family,30.62441921,
553,13,EAST CESAR CHAVEZ,MF-3,Multi-Family,1.546200521,
1001,54,MANSFIELD--RIVER PLACE,DR,"Agriculture, Development Reserve",2710.814887,
579,54,EAST OAK HILL,DR,"Agriculture, Development Reserve",61.29624162,
2072,115,WOOTEN,CS,Commercial,77.08945163,
236,34,BRENTWOOD,MF-4,Multi-Family,12.19975125,
638,65,FRANKLIN PARK,MF-2,Multi-Family,20.22610768,
1090,60,MLK-183,GR,Commercial,157.3476633,
186,70,BLUFF SPRINGS,SF-4A,Single Family,386.9589353,
1426,1,RMMA,CS,Vertical Mixed Use,0.076287345,
1208,1652,NORTH LOOP,SF-3,Single Family,221.1077532,
1787,1405,UNIVERSITY HILLS,SF-2,Single Family,356.2661377,
592,21,EAST OAK HILL,MF-3,Multi-Family,58.49405267,
1930,1213,WEST OAK HILL,SF-1,Single Family,588.7152951,
913,18,HYDE PARK,MF-3,Multi-Family,11.76596913,
2030,162,WINDSOR PARK,GR,Vertical Mixed Use,51.17906508,
1463,14,ROGERS HILL,PUD,Planned Unit Development,200.6269439,
1360,447,PECAN SPRINGS-SPRINGDALE,SF-3,Single Family,102.4033371,
1101,413,MLK-183,SF-2,Single Family,73.0460732,
2077,152,WOOTEN,GR,Commercial,41.3854696,
1951,28,WEST UNIVERSITY,MF-1,Multi-Family,1.904123631,
520,308,DOWNTOWN,CBD,"CBD, Downtown MU",238.2716152,
576,78,EAST OAK HILL,CS,Commercial,104.2092365,
1420,531,RIVERSIDE,SF-3,Single Family,120.5830164,
767,2,GRACY WOODS,NBG,TOD/Corridor/Specific Regulating District,0.16307353,
1081,17,MLK,SF-4A,Single Family,12.18817923,
617,9,FOUR POINTS,P,Public,474.4074334,
1047,34,MCNEIL,LI,Industrial,846.448085,
1467,42,ROGERS HILL,SF-4A,Single Family,347.0150882,
787,25,HANCOCK,GO,Mixed Use,7.021342319,
842,53,HIGHLAND,CS,Commercial,37.91855754,
696,72,GATEWAY,NBG,TOD/Corridor/Specific Regulating District,244.8278946,
1434,245,RMMA,PUD,Planned Unit Development,555.6294546,
1116,35,MONTOPOLIS,LI,Industrial,98.07025055,
2039,125,WINDSOR PARK,MF-3,Multi-Family,34.88158384,
1150,59,NORTH AUSTIN CIVIC ASSOCIATION,SF-1,Single Family,18.93773946,
881,365,HOLLY,CS,Mixed Use,69.08301773,
479,3,DEL VALLE EAST,LI,Industrial,442.3010493,
1432,3,RMMA,LR,Vertical Mixed Use,0.000683025,
1750,38,TECH RIDGE,LI,Industrial,991.8726033,
1785,53,UNIVERSITY HILLS,P,Public,30.94208945,
568,54,EAST CONGRESS,P,Public,39.55496718,
1798,6,UPPER BOGGY CREEK,GR,Mixed Use,0.486218067,
1934,230,WEST OAK HILL,SF-6,Single Family,485.2589597,
1849,40,WALNUT CREEK--PIONEER HILL,LI,Industrial,613.053973,
1512,1272,ROSEWOOD,SF-3,Single Family,199.2825195,
280,59,CENTRAL EAST AUSTIN,CS,Commercial,6.131517343,
1214,16,NORTH SHOAL CREEK,CS,Commercial,87.93764646,
1026,27,MCKINNEY,DR,"Agriculture, Development Reserve",121.9748731,
555,41,EAST CESAR CHAVEZ,P,Public,44.64781289,
1730,85,SWEETBRIAR,GR,Mixed Use,84.16954324,
1879,70,WEST AUSTIN NEIGHBORHOOD GROUP,P,Public,186.7988715,
2067,51,WINDSOR ROAD,P,Public,49.9548161,
1358,25,PECAN SPRINGS-SPRINGDALE,P,Public,203.049122,
858,44,HIGHLAND,P,Public,29.76656894,
1441,5,ROBINSON RANCH,LI,Industrial,165.9920745,
1330,152,PARKER LANE,GR,Commercial,92.98179325,
1455,4,ROGERS HILL,IP,Industrial,68.85983975,
1660,189,SOUTHEAST,LI,Industrial,1284.705477,
1445,27,ROBINSON RANCH,PUD,Planned Unit Development,6010.85115,
1823,68,UT,UNZ,Unzoned,182.5360712,
1960,607,WEST UNIVERSITY,SF-3,Single Family,65.92101216,
1016,64,MANSFIELD--RIVER PLACE,RR,"Rural, Lake Austin Residence",2633.557481,
1781,10,UNIVERSITY HILLS,LR,Mixed Use,9.154699987,
184,85,BLUFF SPRINGS,SF-2,Single Family,441.3943164,
2060,33,WINDSOR ROAD,LO,Office,3.802552042,
1539,6,SLAUGHTER CREEK,GR,Mixed Use,47.39031655,
185,93,BLUFF SPRINGS,SF-3,Single Family,563.9486251,
410,43,DAVENPORT LAKE AUSTIN,PUD,Planned Unit Development,1243.567009,
1032,17,MCKINNEY,MF-2,Multi-Family,1.935507298,
215,1633,BOULDIN CREEK,SF-3,Single Family,238.8520321,
193,14,BOULDIN CREEK,CS-1,Commercial,8.511170836,
1643,79,SOUTH RIVER CITY,MF-4,Multi-Family,15.82322244,
1701,13,ST. EDWARDS,MF-6,Multi-Family,8.849860735,
1178,114,NORTH LAMAR,MF-2,Multi-Family,30.57886619,
295,26,CENTRAL EAST AUSTIN,MF-2,Multi-Family,1.924847934,
1029,429,MCKINNEY,LI,Industrial,901.5702593,
1162,110,NORTH LAMAR,CS,Commercial,88.39380587,
218,69,BOULDIN CREEK,SF-6,Single Family,6.573849224,
545,31,EAST CESAR CHAVEZ,CS,Vertical Mixed Use,19.55811787,
644,95,FRANKLIN PARK,SF-2,Single Family,81.67081656,
451,6,DECKER LAKE,SF-3,Single Family,132.6083245,
914,41,HYDE PARK,MF-4,Multi-Family,25.68736665,
1239,37,NORTH UNIVERSITY,MF-1,Multi-Family,3.193187747,
281,318,CENTRAL EAST AUSTIN,CS,Mixed Use,38.44903099,
920,221,HYDE PARK,SF-3,Single Family,261.3503369,
1193,83,NORTH LOOP,GR,Commercial,7.185152022,
1231,65,NORTH UNIVERSITY,CS,Commercial,11.22465649,
840,75,HERITAGE HILLS,SF-6,Single Family,9.481937593,
1931,2981,WEST OAK HILL,SF-2,Single Family,1194.310588,
1978,937,WESTGATE,SF-3,Single Family,260.6475874,
1158,367,NORTH BURNET,NBG,TOD/Corridor/Specific Regulating District,1198.783162,
968,1,JOLLYVILLE,LO,Mixed Use,0.958642769,
1364,163,PLEASANT VALLEY,ERC,TOD/Corridor/Specific Regulating District,364.6897798,
1236,21,NORTH UNIVERSITY,GR,Commercial,1.613623899,
1287,3,OLD WEST AUSTIN,LO,Mixed Use,0.9955483,
859,1492,HIGHLAND,SF-3,Single Family,242.5433673,
1961,9,WEST UNIVERSITY,SF-4A,Single Family,0.70629701,
255,9,BRODIE LANE,P,Public,49.95015783,
585,8,EAST OAK HILL,LI,Industrial,8.021058324,
291,34,CENTRAL EAST AUSTIN,LO,Mixed Use,2.065448909,
570,19,EAST CONGRESS,RR,"Rural, Lake Austin Residence",5.032662224,
1187,182,NORTH LOOP,CS,Commercial,61.1225449,
565,13,EAST CONGRESS,LO,Mixed Use,2.456109897,
1232,16,NORTH UNIVERSITY,CS,Vertical Mixed Use,3.113201999,
222,157,BRENTWOOD,CS,Mixed Use,34.09625936,
1440,1,ROBINSON RANCH,GR,Mixed Use,0.019340368,
523,18,DOWNTOWN,CS-1,Commercial,7.041886867,
1874,3,WEST AUSTIN NEIGHBORHOOD GROUP,MF-1,Multi-Family,0.650614581,
1036,247,MCKINNEY,SF-3,Single Family,83.1320744,
1102,2215,MLK-183,SF-3,Single Family,538.7735497,
1911,7,WEST OAK HILL,GO,Mixed Use,9.957736332,
398,1711,CRESTVIEW,SF-3,Single Family,328.8121464,
110,7,BARTON CREEK MALL AREA,CS,Commercial,9.648395343,
1623,65,SOUTH MANCHACA,SF-6,Single Family,9.238391071,
470,35,DEL VALLE,RR,"Rural, Lake Austin Residence",720.2088618,
405,63,DAVENPORT LAKE AUSTIN,LA,"Rural, Lake Austin Residence",802.8495082,
1664,84,SOUTHEAST,SF-2,Single Family,22.82477202,
1189,180,NORTH LOOP,CS,Vertical Mixed Use,74.66084826,
399,74,CRESTVIEW,TOD,TOD/Corridor/Specific Regulating District,65.00730157,
681,6,GARRISON PARK,LR,Mixed Use,4.560757061,
1959,54,WEST UNIVERSITY,P,Public,18.26008497,
1245,9,NORTH UNIVERSITY,NO,Office,0.95768218,
1966,17,WESTGATE,GO,Office,6.480385095,
783,48,HANCOCK,CS,Mixed Use,7.626752023,
1240,31,NORTH UNIVERSITY,MF-2,Multi-Family,2.378183453,
2061,21,WINDSOR ROAD,LR,Commercial,2.589922351,
1343,829,PARKER LANE,SF-3,Single Family,214.875762,
2069,104,WINDSOR ROAD,SF-2,Single Family,32.62192802,
414,13,DAVENPORT LAKE AUSTIN,SF-3,Single Family,9.132634566,
1159,24,NORTH BURNET,P,Public,239.5906179,
949,17,JOHNSTON TERRACE,LR,Mixed Use,8.303704374,
1556,31,SLAUGHTER CREEK,SF-4A,Single Family,156.1684894,
86,12,AVERY RANCH--LAKELINE,CS,Commercial,97.03739843,
572,46,EAST CONGRESS,SF-3,Single Family,19.2753021,
620,30,FOUR POINTS,RR,"Rural, Lake Austin Residence",1249.769032,
1015,3,MANSFIELD--RIVER PLACE,R&D,Industrial,100.7444097,
1465,69,ROGERS HILL,SF-2,Single Family,548.4184059,
1411,11,RIVERSIDE,GR,Mixed Use,1.599025805,
1913,143,WEST OAK HILL,GR,Commercial,267.5083063,
2078,70,WOOTEN,GR,Mixed Use,9.502899564,
692,108,GARRISON PARK,SF-6,Single Family,58.46975177,
1608,7,SOUTH MANCHACA,GO,Mixed Use,2.425177051,
1932,153,WEST OAK HILL,SF-3,Single Family,60.68011099,
560,139,EAST CONGRESS,CS,Mixed Use,64.33544649,
685,26,GARRISON PARK,MH,Mobile Home,6.185050809,
1247,538,NORTH UNIVERSITY,SF-3,Single Family,70.81215834,
1456,18,ROGERS HILL,LI,Industrial,409.6626458,
2073,40,WOOTEN,CS,Mixed Use,33.37347522,
1145,237,NORTH AUSTIN CIVIC ASSOCIATION,MF-3,Multi-Family,73.64352,
1419,26,RIVERSIDE,PUD,Planned Unit Development,68.81274016,
1797,11,UPPER BOGGY CREEK,GR,Commercial,0.888312995,
815,80,HARRIS BRANCH,PUD,Planned Unit Development,1888.840494,
2041,19,WINDSOR PARK,NO,Mixed Use,1.416527665,
898,1262,HOLLY,SF-3,Single Family,152.5598472,
178,6,BLUFF SPRINGS,MF-3,Multi-Family,294.2749069,
1650,1719,SOUTH RIVER CITY,SF-3,Single Family,286.8960294,
126,124,BARTON CREEK MALL AREA,SF-2,Single Family,1021.627147,
738,21,GOVALLE,MF-3,Multi-Family,16.35792956,
437,738,DAWSON,SF-3,Single Family,131.7626002,
